Location_Info,Latitude,Longitude,Date,WL(mbgl)
Madhya Pradesh Narsimhapur Chawarpatha Koudiya,22.94583,78.81639,31-08-15,2.3
Madhya Pradesh Narsimhapur Chawarpatha Tendukhera,23.17500,78.87111,31-08-15,5.5
Madhya Pradesh Narsimhapur Gotegaon Gotegaon,23.03944,79.48056,31-08-15,8.5
Madhya Pradesh Narsimhapur Gotegaon Jhoteshwar,22.94778,79.55833,31-08-15,7.7
Madhya Pradesh Narsimhapur Gotegaon Manegaon,22.98639,79.39944,31-08-15,3.2
Madhya Pradesh Narsimhapur Kareli Betli,23.08333,79.03000,31-08-15,3.7
Madhya Pradesh Narsimhapur Kareli Kareli Basti,22.91083,79.06778,31-08-15,5.8
Madhya Pradesh Narsimhapur Narsimhapur Bachai,22.87389,79.30556,31-08-15,9.1
Madhya Pradesh Narsimhapur Narsimhapur Bauchhar,22.98694,79.33361,31-08-15,5.5
Madhya Pradesh Narsimhapur Narsimhapur Dangidhana,22.91028,79.27417,31-08-15,3.4
Madhya Pradesh Narsimhapur Narsimhapur Karakbel,22.99139,79.33750,31-08-15,4.2
Madhya Pradesh Narsimhapur Narsimhapur Ramkhiria,23.10139,79.16250,31-08-15,16.1
Madhya Pradesh Narsimhapur Narsimhapur Sundernagar,22.83833,79.23444,31-08-15,14.5
Madhya Pradesh Narsimhapur Sainkheda Deoribadwani,22.91667,78.68194,31-08-15,1.6
Madhya Pradesh Narsimhapur Sainkheda Salichauka,22.83056,78.66667,31-08-15,5.6
Madhya Pradesh Neemuch Jawad Athwakheda,24.83833,75.14000,31-08-15,6.5
Madhya Pradesh Neemuch Jawad Dadoli,24.67389,75.04111,31-08-15,4.1
Madhya Pradesh Neemuch Jawad Jat,24.84806,74.93806,31-08-15,2.6
Madhya Pradesh Neemuch Jawad Jawad,24.59417,74.86222,31-08-15,1.7
Madhya Pradesh Neemuch Jawad Lalpura,24.61333,74.92639,31-08-15,3.3
